,date,variable,value
420,2019-08-11,best sushi near me,25
421,2019-08-18,best sushi near me,36
422,2019-08-25,best sushi near me,38
423,2019-09-01,best sushi near me,53
424,2019-09-08,best sushi near me,63
425,2019-09-15,best sushi near me,77
426,2019-09-22,best sushi near me,100
427,2019-09-29,best sushi near me,17
428,2019-10-06,best sushi near me,2
429,2019-10-13,best sushi near me,4
430,2019-10-20,best sushi near me,2
431,2019-10-27,best sushi near me,1
432,2019-11-03,best sushi near me,3
433,2019-11-10,best sushi near me,2
434,2019-11-17,best sushi near me,2
435,2019-11-24,best sushi near me,2
436,2019-12-01,best sushi near me,2
437,2019-12-08,best sushi near me,6
438,2019-12-15,best sushi near me,5
439,2019-12-22,best sushi near me,3
440,2019-12-29,best sushi near me,3
441,2020-01-05,best sushi near me,3
442,2020-01-12,best sushi near me,2
443,2020-01-19,best sushi near me,2
444,2020-01-26,best sushi near me,3
445,2020-02-02,best sushi near me,2
446,2020-02-09,best sushi near me,2
447,2020-02-16,best sushi near me,3
448,2020-02-23,best sushi near me,1
449,2020-03-01,best sushi near me,4
450,2019-03-24,best kebab glasgow,0
451,2019-03-31,best kebab glasgow,7
452,2019-04-07,best kebab glasgow,0
453,2019-04-14,best kebab glasgow,8
454,2019-04-21,best kebab glasgow,7
455,2019-04-28,best kebab glasgow,0
456,2019-05-05,best kebab glasgow,0
457,2019-05-12,best kebab glasgow,11
458,2019-05-19,best kebab glasgow,7
459,2019-05-26,best kebab glasgow,7
460,2019-06-02,best kebab glasgow,0
461,2019-06-09,best kebab glasgow,11
462,2019-06-16,best kebab glasgow,7
463,2019-06-23,best kebab glasgow,0
464,2019-06-30,best kebab glasgow,0
465,2019-07-07,best kebab glasgow,0
466,2019-07-14,best kebab glasgow,7
467,2019-07-21,best kebab glasgow,7
468,2019-07-28,best kebab glasgow,7
469,2019-08-04,best kebab glasgow,0
470,2019-08-11,best kebab glasgow,7
471,2019-08-18,best kebab glasgow,0
472,2019-08-25,best kebab glasgow,0
473,2019-09-01,best kebab glasgow,7
474,2019-09-08,best kebab glasgow,7
475,2019-09-15,best kebab glasgow,7
476,2019-09-22,best kebab glasgow,10
477,2019-09-29,best kebab glasgow,0
478,2019-10-06,best kebab glasgow,7
479,2019-10-13,best kebab glasgow,10
480,2019-10-20,best kebab glasgow,7
481,2019-10-27,best kebab glasgow,7
482,2019-11-03,best kebab glasgow,100
483,2019-11-10,best kebab glasgow,22
484,2019-11-17,best kebab glasgow,0
485,2019-11-24,best kebab glasgow,6
486,2019-12-01,best kebab glasgow,7
487,2019-12-08,best kebab glasgow,0
488,2019-12-15,best kebab glasgow,0
489,2019-12-22,best kebab glasgow,15
490,2019-12-29,best kebab glasgow,10
491,2020-01-05,best kebab glasgow,6
492,2020-01-12,best kebab glasgow,0
493,2020-01-19,best kebab glasgow,6
494,2020-01-26,best kebab glasgow,6
495,2020-02-02,best kebab glasgow,6
496,2020-02-09,best kebab glasgow,6
497,2020-02-16,best kebab glasgow,6
498,2020-02-23,best kebab glasgow,0
499,2020-03-01,best kebab glasgow,15
500,2019-03-24,best cupcake recipes,75
501,2019-03-31,best cupcake recipes,32
502,2019-04-07,best cupcake recipes,95
503,2019-04-14,best cupcake recipes,33
504,2019-04-21,best cupcake recipes,48
505,2019-04-28,best cupcake recipes,30
506,2019-05-05,best cupcake recipes,31
507,2019-05-12,best cupcake recipes,32
508,2019-05-19,best cupcake recipes,47
509,2019-05-26,best cupcake recipes,31
510,2019-06-02,best cupcake recipes,99
511,2019-06-09,best cupcake recipes,30
512,2019-06-16,best cupcake recipes,52
513,2019-06-23,best cupcake recipes,52
514,2019-06-30,best cupcake recipes,47
515,2019-07-07,best cupcake recipes,31
516,2019-07-14,best cupcake recipes,41
517,2019-07-21,best cupcake recipes,48
518,2019-07-28,best cupcake recipes,42
519,2019-08-04,best cupcake recipes,62
520,2019-08-11,best cupcake recipes,77
521,2019-08-18,best cupcake recipes,74
522,2019-08-25,best cupcake recipes,62
523,2019-09-01,best cupcake recipes,81
524,2019-09-08,best cupcake recipes,45
525,2019-09-15,best cupcake recipes,45
526,2019-09-22,best cupcake recipes,76
527,2019-09-29,best cupcake recipes,43
528,2019-10-06,best cupcake recipes,43
529,2019-10-13,best cupcake recipes,43
530,2019-10-20,best cupcake recipes,100
531,2019-10-27,best cupcake recipes,29
532,2019-11-03,best cupcake recipes,83
533,2019-11-10,best cupcake recipes,42
534,2019-11-17,best cupcake recipes,42
535,2019-11-24,best cupcake recipes,40
536,2019-12-01,best cupcake recipes,27
537,2019-12-08,best cupcake recipes,47
538,2019-12-15,best cupcake recipes,59
539,2019-12-22,best cupcake recipes,32
540,2019-12-29,best cupcake recipes,29
541,2020-01-05,best cupcake recipes,27
542,2020-01-12,best cupcake recipes,53
543,2020-01-19,best cupcake recipes,55
544,2020-01-26,best cupcake recipes,54
545,2020-02-02,best cupcake recipes,46
546,2020-02-09,best cupcake recipes,44
547,2020-02-16,best cupcake recipes,71
548,2020-02-23,best cupcake recipes,52
549,2020-03-01,best cupcake recipes,52
550,2019-03-24,best afternoon tea near me,74
551,2019-03-31,best afternoon tea near me,57
552,2019-04-07,best afternoon tea near me,41
553,2019-04-14,best afternoon tea near me,69
554,2019-04-21,best afternoon tea near me,24
555,2019-04-28,best afternoon tea near me,71
556,2019-05-05,best afternoon tea near me,48
557,2019-05-12,best afternoon tea near me,33
558,2019-05-19,best afternoon tea near me,48
559,2019-05-26,best afternoon tea near me,48
560,2019-06-02,best afternoon tea near me,38
561,2019-06-09,best afternoon tea near me,39
562,2019-06-16,best afternoon tea near me,40
563,2019-06-23,best afternoon tea near me,24
564,2019-06-30,best afternoon tea near me,73
565,2019-07-07,best afternoon tea near me,56
566,2019-07-14,best afternoon tea near me,40
567,2019-07-21,best afternoon tea near me,74
568,2019-07-28,best afternoon tea near me,49
569,2019-08-04,best afternoon tea near me,24
570,2019-08-11,best afternoon tea near me,40
571,2019-08-18,best afternoon tea near me,24
572,2019-08-25,best afternoon tea near me,24
573,2019-09-01,best afternoon tea near me,0
