,date,variable,value
424,2019-09-15,vegan all sorts,27
425,2019-09-22,vegan all sorts,26
426,2019-09-29,vegan all sorts,26
427,2019-10-06,vegan all sorts,26
428,2019-10-13,vegan all sorts,65
429,2019-10-20,vegan all sorts,52
430,2019-10-27,vegan all sorts,39
431,2019-11-03,vegan all sorts,25
432,2019-11-10,vegan all sorts,50
433,2019-11-17,vegan all sorts,0
434,2019-11-24,vegan all sorts,48
435,2019-12-01,vegan all sorts,49
436,2019-12-08,vegan all sorts,59
437,2019-12-15,vegan all sorts,26
438,2019-12-22,vegan all sorts,57
439,2019-12-29,vegan all sorts,26
440,2020-01-05,vegan all sorts,24
441,2020-01-12,vegan all sorts,35
442,2020-01-19,vegan all sorts,74
443,2020-01-26,vegan all sorts,24
444,2020-02-02,vegan all sorts,25
445,2020-02-09,vegan all sorts,48
446,2020-02-16,vegan all sorts,36
447,2020-02-23,vegan all sorts,23
448,2020-03-01,vegan all sorts,24
449,2020-03-08,vegan all sorts,26
450,2019-03-31,richmond vegan sausages,0
451,2019-04-07,richmond vegan sausages,0
452,2019-04-14,richmond vegan sausages,0
453,2019-04-21,richmond vegan sausages,0
454,2019-04-28,richmond vegan sausages,0
455,2019-05-05,richmond vegan sausages,0
456,2019-05-12,richmond vegan sausages,14
457,2019-05-19,richmond vegan sausages,0
458,2019-05-26,richmond vegan sausages,0
459,2019-06-02,richmond vegan sausages,0
460,2019-06-09,richmond vegan sausages,0
461,2019-06-16,richmond vegan sausages,0
462,2019-06-23,richmond vegan sausages,0
463,2019-06-30,richmond vegan sausages,0
464,2019-07-07,richmond vegan sausages,0
465,2019-07-14,richmond vegan sausages,0
466,2019-07-21,richmond vegan sausages,0
467,2019-07-28,richmond vegan sausages,0
468,2019-08-04,richmond vegan sausages,0
469,2019-08-11,richmond vegan sausages,0
470,2019-08-18,richmond vegan sausages,0
471,2019-08-25,richmond vegan sausages,0
472,2019-09-01,richmond vegan sausages,0
473,2019-09-08,richmond vegan sausages,0
474,2019-09-15,richmond vegan sausages,14
475,2019-09-22,richmond vegan sausages,34
476,2019-09-29,richmond vegan sausages,26
477,2019-10-06,richmond vegan sausages,32
478,2019-10-13,richmond vegan sausages,22
479,2019-10-20,richmond vegan sausages,32
480,2019-10-27,richmond vegan sausages,30
481,2019-11-03,richmond vegan sausages,41
482,2019-11-10,richmond vegan sausages,55
483,2019-11-17,richmond vegan sausages,71
484,2019-11-24,richmond vegan sausages,24
485,2019-12-01,richmond vegan sausages,50
486,2019-12-08,richmond vegan sausages,38
487,2019-12-15,richmond vegan sausages,58
488,2019-12-22,richmond vegan sausages,72
489,2019-12-29,richmond vegan sausages,100
490,2020-01-05,richmond vegan sausages,57
491,2020-01-12,richmond vegan sausages,87
492,2020-01-19,richmond vegan sausages,55
493,2020-01-26,richmond vegan sausages,57
494,2020-02-02,richmond vegan sausages,45
495,2020-02-09,richmond vegan sausages,44
496,2020-02-16,richmond vegan sausages,56
497,2020-02-23,richmond vegan sausages,31
498,2020-03-01,richmond vegan sausages,59
499,2020-03-08,richmond vegan sausages,31
500,2019-03-31,vegan allsorts,0
501,2019-04-07,vegan allsorts,0
502,2019-04-14,vegan allsorts,0
503,2019-04-21,vegan allsorts,0
504,2019-04-28,vegan allsorts,21
505,2019-05-05,vegan allsorts,28
506,2019-05-12,vegan allsorts,36
507,2019-05-19,vegan allsorts,21
508,2019-05-26,vegan allsorts,41
509,2019-06-02,vegan allsorts,20
510,2019-06-09,vegan allsorts,20
511,2019-06-16,vegan allsorts,21
512,2019-06-23,vegan allsorts,21
513,2019-06-30,vegan allsorts,63
514,2019-07-07,vegan allsorts,28
515,2019-07-14,vegan allsorts,21
516,2019-07-21,vegan allsorts,0
517,2019-07-28,vegan allsorts,21
518,2019-08-04,vegan allsorts,21
519,2019-08-11,vegan allsorts,31
520,2019-08-18,vegan allsorts,21
521,2019-08-25,vegan allsorts,86
522,2019-09-01,vegan allsorts,21
