,date,variable,value
467,2019-07-28,best curry near me,38
468,2019-08-04,best curry near me,80
469,2019-08-11,best curry near me,27
470,2019-08-18,best curry near me,49
471,2019-08-25,best curry near me,33
472,2019-09-01,best curry near me,47
473,2019-09-08,best curry near me,57
474,2019-09-15,best curry near me,37
475,2019-09-22,best curry near me,45
476,2019-09-29,best curry near me,55
477,2019-10-06,best curry near me,80
478,2019-10-13,best curry near me,35
479,2019-10-20,best curry near me,45
480,2019-10-27,best curry near me,50
481,2019-11-03,best curry near me,53
482,2019-11-10,best curry near me,53
483,2019-11-17,best curry near me,29
484,2019-11-24,best curry near me,65
485,2019-12-01,best curry near me,34
486,2019-12-08,best curry near me,64
487,2019-12-15,best curry near me,72
488,2019-12-22,best curry near me,100
489,2019-12-29,best curry near me,90
490,2020-01-05,best curry near me,23
491,2020-01-12,best curry near me,51
492,2020-01-19,best curry near me,43
493,2020-01-26,best curry near me,19
494,2020-02-02,best curry near me,33
495,2020-02-09,best curry near me,37
496,2020-02-16,best curry near me,64
497,2020-02-23,best curry near me,40
498,2020-03-01,best curry near me,59
499,2020-03-08,best curry near me,38
500,2019-03-31,best indian food near me,44
501,2019-04-07,best indian food near me,63
502,2019-04-14,best indian food near me,51
503,2019-04-21,best indian food near me,44
504,2019-04-28,best indian food near me,75
505,2019-05-05,best indian food near me,72
506,2019-05-12,best indian food near me,39
507,2019-05-19,best indian food near me,44
508,2019-05-26,best indian food near me,57
509,2019-06-02,best indian food near me,77
510,2019-06-09,best indian food near me,56
511,2019-06-16,best indian food near me,77
512,2019-06-23,best indian food near me,62
513,2019-06-30,best indian food near me,77
514,2019-07-07,best indian food near me,100
515,2019-07-14,best indian food near me,57
516,2019-07-21,best indian food near me,78
517,2019-07-28,best indian food near me,83
518,2019-08-04,best indian food near me,71
519,2019-08-11,best indian food near me,71
520,2019-08-18,best indian food near me,49
521,2019-08-25,best indian food near me,87
522,2019-09-01,best indian food near me,56
523,2019-09-08,best indian food near me,60
524,2019-09-15,best indian food near me,51
525,2019-09-22,best indian food near me,80
526,2019-09-29,best indian food near me,67
527,2019-10-06,best indian food near me,75
528,2019-10-13,best indian food near me,71
529,2019-10-20,best indian food near me,71
530,2019-10-27,best indian food near me,79
531,2019-11-03,best indian food near me,77
532,2019-11-10,best indian food near me,90
533,2019-11-17,best indian food near me,47
534,2019-11-24,best indian food near me,62
535,2019-12-01,best indian food near me,72
536,2019-12-08,best indian food near me,70
537,2019-12-15,best indian food near me,68
538,2019-12-22,best indian food near me,64
539,2019-12-29,best indian food near me,80
540,2020-01-05,best indian food near me,75
541,2020-01-12,best indian food near me,49
542,2020-01-19,best indian food near me,42
543,2020-01-26,best indian food near me,54
544,2020-02-02,best indian food near me,51
545,2020-02-09,best indian food near me,77
546,2020-02-16,best indian food near me,82
547,2020-02-23,best indian food near me,48
548,2020-03-01,best indian food near me,28
549,2020-03-08,best indian food near me,46
550,2019-03-31,best games.com,51
551,2019-04-07,best games.com,68
552,2019-04-14,best games.com,36
553,2019-04-21,best games.com,46
554,2019-04-28,best games.com,49
555,2019-05-05,best games.com,50
556,2019-05-12,best games.com,0
557,2019-05-19,best games.com,34
558,2019-05-26,best games.com,33
559,2019-06-02,best games.com,32
560,2019-06-09,best games.com,49
561,2019-06-16,best games.com,100
562,2019-06-23,best games.com,84
563,2019-06-30,best games.com,34
564,2019-07-07,best games.com,44
565,2019-07-14,best games.com,83
566,2019-07-21,best games.com,68
567,2019-07-28,best games.com,51
568,2019-08-04,best games.com,50
569,2019-08-11,best games.com,50
570,2019-08-18,best games.com,68
571,2019-08-25,best games.com,34
572,2019-09-01,best games.com,0
573,2019-09-08,best games.com,0
574,2019-09-15,best games.com,33
575,2019-09-22,best games.com,31
576,2019-09-29,best games.com,31
577,2019-10-06,best games.com,52
578,2019-10-13,best games.com,62
579,2019-10-20,best games.com,46
580,2019-10-27,best games.com,31
581,2019-11-03,best games.com,59
582,2019-11-10,best games.com,60
583,2019-11-17,best games.com,40
584,2019-11-24,best games.com,29
585,2019-12-01,best games.com,30
586,2019-12-08,best games.com,30
587,2019-12-15,best games.com,48
588,2019-12-22,best games.com,86
589,2019-12-29,best games.com,31
590,2020-01-05,best games.com,58
591,2020-01-12,best games.com,28
592,2020-01-19,best games.com,30
593,2020-01-26,best games.com,29
594,2020-02-02,best games.com,30
