,date,variable,value
406,2019-05-12,whiteways cafe,0
407,2019-05-19,whiteways cafe,0
408,2019-05-26,whiteways cafe,0
409,2019-06-02,whiteways cafe,48
410,2019-06-09,whiteways cafe,0
411,2019-06-16,whiteways cafe,51
412,2019-06-23,whiteways cafe,100
413,2019-06-30,whiteways cafe,51
414,2019-07-07,whiteways cafe,0
415,2019-07-14,whiteways cafe,0
416,2019-07-21,whiteways cafe,0
417,2019-07-28,whiteways cafe,0
418,2019-08-04,whiteways cafe,50
419,2019-08-11,whiteways cafe,0
420,2019-08-18,whiteways cafe,51
421,2019-08-25,whiteways cafe,50
422,2019-09-01,whiteways cafe,0
423,2019-09-08,whiteways cafe,0
424,2019-09-15,whiteways cafe,0
425,2019-09-22,whiteways cafe,0
426,2019-09-29,whiteways cafe,94
427,2019-10-06,whiteways cafe,0
428,2019-10-13,whiteways cafe,0
429,2019-10-20,whiteways cafe,0
430,2019-10-27,whiteways cafe,0
431,2019-11-03,whiteways cafe,0
432,2019-11-10,whiteways cafe,45
433,2019-11-17,whiteways cafe,45
434,2019-11-24,whiteways cafe,0
435,2019-12-01,whiteways cafe,0
436,2019-12-08,whiteways cafe,0
437,2019-12-15,whiteways cafe,48
438,2019-12-22,whiteways cafe,0
439,2019-12-29,whiteways cafe,47
440,2020-01-05,whiteways cafe,0
441,2020-01-12,whiteways cafe,0
442,2020-01-19,whiteways cafe,44
443,2020-01-26,whiteways cafe,0
444,2020-02-02,whiteways cafe,44
445,2020-02-09,whiteways cafe,43
446,2020-02-16,whiteways cafe,0
447,2020-02-23,whiteways cafe,0
448,2020-03-01,whiteways cafe,42
449,2020-03-08,whiteways cafe,0
450,2019-03-31,mc cafe,50
451,2019-04-07,mc cafe,100
452,2019-04-14,mc cafe,53
453,2019-04-21,mc cafe,76
454,2019-04-28,mc cafe,49
455,2019-05-05,mc cafe,50
456,2019-05-12,mc cafe,75
457,2019-05-19,mc cafe,0
458,2019-05-26,mc cafe,0
459,2019-06-02,mc cafe,47
460,2019-06-09,mc cafe,48
461,2019-06-16,mc cafe,0
462,2019-06-23,mc cafe,100
463,2019-06-30,mc cafe,0
464,2019-07-07,mc cafe,65
465,2019-07-14,mc cafe,49
466,2019-07-21,mc cafe,50
467,2019-07-28,mc cafe,50
468,2019-08-04,mc cafe,49
469,2019-08-11,mc cafe,0
470,2019-08-18,mc cafe,50
471,2019-08-25,mc cafe,50
472,2019-09-01,mc cafe,96
473,2019-09-08,mc cafe,48
474,2019-09-15,mc cafe,0
475,2019-09-22,mc cafe,68
476,2019-09-29,mc cafe,92
477,2019-10-06,mc cafe,46
478,2019-10-13,mc cafe,91
479,2019-10-20,mc cafe,92
480,2019-10-27,mc cafe,46
481,2019-11-03,mc cafe,44
482,2019-11-10,mc cafe,0
483,2019-11-17,mc cafe,89
484,2019-11-24,mc cafe,57
485,2019-12-01,mc cafe,44
486,2019-12-08,mc cafe,45
487,2019-12-15,mc cafe,47
488,2019-12-22,mc cafe,51
489,2019-12-29,mc cafe,69
490,2020-01-05,mc cafe,43
491,2020-01-12,mc cafe,43
492,2020-01-19,mc cafe,0
493,2020-01-26,mc cafe,43
494,2020-02-02,mc cafe,43
495,2020-02-09,mc cafe,0
496,2020-02-16,mc cafe,42
497,2020-02-23,mc cafe,0
498,2020-03-01,mc cafe,83
499,2020-03-08,mc cafe,94
500,2019-03-31,farzi cafe london,43
501,2019-04-07,farzi cafe london,34
502,2019-04-14,farzi cafe london,64
503,2019-04-21,farzi cafe london,35
504,2019-04-28,farzi cafe london,25
505,2019-05-05,farzi cafe london,43
506,2019-05-12,farzi cafe london,35
507,2019-05-19,farzi cafe london,52
508,2019-05-26,farzi cafe london,25
509,2019-06-02,farzi cafe london,41
510,2019-06-09,farzi cafe london,100
511,2019-06-16,farzi cafe london,26
512,2019-06-23,farzi cafe london,51
513,2019-06-30,farzi cafe london,26
514,2019-07-07,farzi cafe london,25
515,2019-07-14,farzi cafe london,25
516,2019-07-21,farzi cafe london,26
517,2019-07-28,farzi cafe london,43
518,2019-08-04,farzi cafe london,25
519,2019-08-11,farzi cafe london,26
520,2019-08-18,farzi cafe london,26
521,2019-08-25,farzi cafe london,69
522,2019-09-01,farzi cafe london,50
523,2019-09-08,farzi cafe london,41
524,2019-09-15,farzi cafe london,25
525,2019-09-22,farzi cafe london,35
526,2019-09-29,farzi cafe london,24
527,2019-10-06,farzi cafe london,23
528,2019-10-13,farzi cafe london,24
529,2019-10-20,farzi cafe london,24
530,2019-10-27,farzi cafe london,39
531,2019-11-03,farzi cafe london,30
532,2019-11-10,farzi cafe london,35
533,2019-11-17,farzi cafe london,23
534,2019-11-24,farzi cafe london,33
535,2019-12-01,farzi cafe london,23
536,2019-12-08,farzi cafe london,23
537,2019-12-15,farzi cafe london,24
538,2019-12-22,farzi cafe london,53
539,2019-12-29,farzi cafe london,48
540,2020-01-05,farzi cafe london,22
541,2020-01-12,farzi cafe london,22
542,2020-01-19,farzi cafe london,23
543,2020-01-26,farzi cafe london,44
544,2020-02-02,farzi cafe london,22
545,2020-02-09,farzi cafe london,22
546,2020-02-16,farzi cafe london,33
547,2020-02-23,farzi cafe london,32
548,2020-03-01,farzi cafe london,29
549,2020-03-08,farzi cafe london,24
550,2019-03-31,aroush cafe,0
551,2019-04-07,aroush cafe,0
552,2019-04-14,aroush cafe,53
553,2019-04-21,aroush cafe,0
554,2019-04-28,aroush cafe,0
555,2019-05-05,aroush cafe,49
556,2019-05-12,aroush cafe,0
557,2019-05-19,aroush cafe,100
558,2019-05-26,aroush cafe,97
559,2019-06-02,aroush cafe,47
560,2019-06-09,aroush cafe,96
561,2019-06-16,aroush cafe,98
562,2019-06-23,aroush cafe,49
563,2019-06-30,aroush cafe,50
564,2019-07-07,aroush cafe,82
565,2019-07-14,aroush cafe,49
566,2019-07-21,aroush cafe,51
567,2019-07-28,aroush cafe,0
568,2019-08-04,aroush cafe,49
569,2019-08-11,aroush cafe,0
570,2019-08-18,aroush cafe,50
571,2019-08-25,aroush cafe,49
572,2019-09-01,aroush cafe,47
573,2019-09-08,aroush cafe,0
574,2019-09-15,aroush cafe,97
575,2019-09-22,aroush cafe,0
576,2019-09-29,aroush cafe,69
577,2019-10-06,aroush cafe,45
578,2019-10-13,aroush cafe,46
579,2019-10-20,aroush cafe,45
580,2019-10-27,aroush cafe,46
581,2019-11-03,aroush cafe,45
582,2019-11-10,aroush cafe,0
583,2019-11-17,aroush cafe,0
584,2019-11-24,aroush cafe,43
585,2019-12-01,aroush cafe,66
586,2019-12-08,aroush cafe,45
587,2019-12-15,aroush cafe,47
588,2019-12-22,aroush cafe,51
589,2019-12-29,aroush cafe,46
590,2020-01-05,aroush cafe,0
